offer id,category,class,subclass,brand,name
1017923873,Hardware,Wardrobe Sliding Fittings,Wardrobe Fitting,Hettich,Hettich 9354295 Concealed Wardrobe Fitting
1017893637,Plumbing,"Tapes, Adhesives and Cleaners",Solvent cement,HP,HP Gold 59 ml Solvent Cement
1017792413,Lighting & Fans,Lighting Accessories,Profile - LED,Luker,Luker 1Mtr Track White Body (LTM1 WH) Profile LED Channel
1017919824,Hardware,Cabinet Hardware,Cabinet Handle,Apace,Apace H232160BKTTAPCHA Black 6 in. Cabinet Handle
1018248982,Hardware,Cabinet Hardware,Bracket,IMEX,IMEX 14 in. PC Brown NA Bracket
1018005053,Plumbing,Fittings,Water Pipe Fitting,Supreme,Supreme 1 1/4 x 3/4 in. (32 x 20 mm) UPVC Reducer Tee
1017888609,Plumbing,Fittings,Agriculture Fitting,Supreme,Supreme 3/4 in. (25 mm) 15 Kg/cm sq Long Excel Elbow 90 Agriculture Fitting
1016131894,Power & Hand Tools,Power Tools,Tile Cutter,Dongcheng,Dongcheng DZE02-110 1240 W Tile Cutter
1018277692,Paints,Exterior Paints,Exterior Emulsion - Base,BIRLA opus,BIRLA opus TL 1 One True Look Pastel 10 L Exterior Emulsion - Base
1017884195,Plumbing,Fittings,Water Pipe Fitting,Supreme,Supreme Aqua Gold 1 1/2 in. (40 mm) UPVC Coupler
1000549785,Electricals,Batteries & Torch,Battery,Duracell,Duracell Alkaline Battery D size Pack Of 2
1017926754,Plumbing,Tanks,Overhead Tank,Supreme,Supreme SILTANK 3 Layer White 500 L Overhead Tank
1006154952,Bath,Bath Accessories,Floor Drain,Goeka,Goeka GR-07 5 in. x 5 in. Round SS Floor Drain
1018248158,Hardware,Ropes,Rope,Everest,Everest 30 m Nylon Rope
1015019368,Bath,Toilets,Toilet Seat cover,Parryware,Parryware White Regular Toilet Seat Cover
1018104807,Electricals,Power Generation & Transformers,Stabilizer,V-Guard,V-Guard VGSD 100 Stabilizer
1017677606,Power & Hand Tools,Power Tools Accessories,Drill Bit,Taparia,Taparia HDC 6110 SDS Plus 6x50x110mm Cross Tip Hammer Drill Bit
1000552032,Plumbing,Fittings,Water Pipe Fitting,Supreme,Supreme ¾ in. (20 mm) CPVC Elbow 45°
1017920513,Hardware,Cabinet Hardware,Cabinet Handle,Nimmi,Nimmi 331696BKNICHA Black 4 in. Cabinet Handle
1017944574,Hardware,Door Hardware,Door Aldrop/Latch,Nimmi,Nimmi 1105812KAALNI Antique 200 x 12 mm Brass Aldrop
1018705284,Lighting & Fans,Decorative Lights,Wall Light,Luker,Luker Bonito WS14 (LWL68-1) E27 Holder Without Lamp Wall Light
1000635525,Power & Hand Tools,Garden Tools,Garden Glove,Natures Plus,Natures Plus 11 in. Rubber Gloves
1017920957,Hardware,Cabinet Hardware,Cabinet Knob,Apace,Apace K127BANGAPU Antique Cabinet Knob
1017642234,Electricals,Wires & Cables,Low Tension Wire,Orbit,Orbit FRLS-H 4 sq mm Blue 180 m FR PVC Insulated Wire
1006892502,Plumbing,Pumps,Booster Pump,CRI,CRI Tiny Force50 630301 Single Phase 0.5 HP (0.37 kW) Booster Pump
1000191325,Power & Hand Tools,Hand Tools,Screwdriver,Stanley,Stanley 66-137 2-in-1 12 volt Digital Detection Tester
1017677641,Power & Hand Tools,Power Tools Accessories,Drill Bit,Taparia,Taparia HDC 8110 SDS Plus 8x50x110mm Cross Tip Hammer Drill Bit
1000604568,Power & Hand Tools,Household Cleaning,Cleaning Tools,Gala,Gala Swash Stain Steel Scrub
1017642878,Lighting & Fans,Ceiling Lights,LED Panel Light,Panasonic,Panasonic 20W 3000K Round Concealed LED Panel Light
1017063816,Electricals,Switches and Sockets,Switch,Anchor,Anchor Uno Yellow & Red 1 Way 63 A Rotary Switch
1017742013,Lighting & Fans,Light Bulbs,LED Batten,Philips,Philips 25W 6500K Slimline LED Batten
1016973573,Lighting & Fans,Ceiling Lights,LED Panel Light,Panasonic,Panasonic 10W 3000K Round Concealed LED Panel Light
1017701623,Hardware,Fasteners,Screw,Nakoda,Nakoda 32x6 Black POP Screws
1006312039,Lighting & Fans,Light Bulbs,LED Bulb,Panasonic,Panasonic 12W B22 3000K LED Bulb
1018282328,Paints,Waterproofing,Wall Waterproofing,BIRLA opus,BIRLA opus WF10 AllDry WallnRoof 10 White 10 L Wall Waterproofing
1017921358,Hardware,Curtain Hardware,Curtain Hook,Apace,Apace SING416HANAPCSU Single Per Pcs Antique Curtain Support
