offerid,category,class,subclass,brand,name
1016202241,Boards & Laminates,Door,Flush Door,Maxilam,"Maxilam MPD 1006 81 in. x 32 in.,30 mm  BWR Flush Door"
1018206512,Appliances,Large Domestic Appliances,Refrigerator,Samsung,Samsung RT41DG6A2BS8HL Refrigerator
1018030146,Kitchen & Bath,Bath Accessories,Tumbler Holder,Kerovit,Kerovit Square Brass Tumbler Holder
1015025997,Boards & Laminates,Laminates,Decorative Laminates,Royale Touche,Royale Touche 1169 Brown Crystal 1.25 mm Decorative Laminates
1000723181,Kitchen & Bath,Tiles Tools & Accessories,Tile Grout,Roff,Roff Rainbow Tile Mate 738 g Pastel Grey Tile Epoxy Grout
1014818033,Lighting & Fans,Decorative Lights,Lamps,Quace,Quace Brown Buffet Table Lamp
1000571929,Lighting & Fans,Decorative Lights,Pendant Light,Quace,Quace Black Pendant Light
1000571629,Lighting & Fans,Decorative Lights,Pendant Light,Quace,Quace Black Distressed Pendant Light
1015949857,Boards & Laminates,Laminates,Decorative Laminates,Merino,Merino Calplus 13013 Tirichy Walnut SF 0.8 mm Decorative Laminates
1017844327,Power & Hand Tools,Household Cleaning,Cleaning Tools,Pulpwood,Pulp Wood Virgin Soft Tissue / Toilet Roll 6In1 Pack 160 Pullsx6No'S 3Ply
1014227157,Plumbing,Pipes,Water Pipe,Prince,Prince Easyfit 1 in. (25 mm) SCH - 80 UPVC 6 m Water Pipe
1018030192,Kitchen & Bath,Bath Accessories,Tumbler Holder,Kerovit,Kerovit Convex Brass Tumbler Holder
1018031569,Kitchen & Bath,Bath Accessories,Towel Rail,Kerovit,Kerovit Convex 610 mm Stainless Steel Towel Rail
1017981858,Kitchen & Bath,Basin Faucets,Pillar Tap,Kerovit,Kerovit Chime KB911011-ND-CP Chrome Pillar Tap
